Zone,Run,Cost
spot2-us-east1-c,1,0.21494646665000003
spot2-us-east1-c,2,1.2499486378477
spot2-us-east1-c,3,1.7536509089643002
spot2-us-east1-c,4,1.6773546414307001
spot2-us-east1-c,5,2.3582187680780002
spot2-us-east1-c,6,1.2577963749553
spot2-us-east1-c,7,1.270157627824
spot2-us-east1-c,8,1.2580227657056002
spot2-us-central1-c,1,1.2705484045630002
spot2-us-central1-c,2,1.2693413529296
spot2-us-central1-c,3,1.2699856703963
spot2-us-central1-c,4,1.2692964895643
spot2-us-central1-c,5,1.2686335843693
spot2-us-central1-c,6,1.2803171204041002
spot2-us-central1-c,7,1.2804377263229
spot2-us-central1-c,8,1.2802062365255
spot2-us-west1-b,1,1.2905167281651
spot2-us-west1-b,2,1.2807619603428002
spot2-us-west1-b,3,1.2796692130905
spot2-us-west1-b,4,2.523330644644
spot2-us-west1-b,5,1.2701741525305001
spot2-us-west1-b,6,1.280232945517
spot2-us-west1-b,7,2.0612294457880003
spot2-us-west1-b,8,1.2916160267926
spot2-europe-west1-b,1,1.2808860032988
spot2-europe-west1-b,2,1.4449312176462001
spot2-europe-west1-b,3,1.2800224765925998
spot2-europe-west1-b,4,1.2808979342659002
spot2-europe-west1-b,5,1.280579957994
spot2-europe-west1-b,6,1.2926954556166
spot2-europe-west1-b,7,1.2916154900508
spot2-europe-west1-b,8,1.2920553935639
