Zone,Run,Duration,Accuracy
us-east1-c,1,1182.9745,0.0993
us-east1-c,2,6879.188981,0.909799993
us-east1-c,3,9651.353379,0.92110002
us-east1-c,4,9231.450971,0.923799992
us-east1-c,5,12978.63934,0.92750001
us-east1-c,6,6922.379609,0.91170001
us-east1-c,7,6990.41072,0.92869997
us-east1-c,8,6923.625568,0.92019999
us-central1-c,1,6992.56139,0.918600023
us-central1-c,2,6985.918288,0.917999983
us-central1-c,3,6989.464339,0.917100012
us-central1-c,4,6985.671379,0.930899978
us-central1-c,5,6982.023029,0.926199973
us-central1-c,6,7046.324273,0.919700027
us-central1-c,7,7046.988037,0.912500024
us-central1-c,8,7045.714015,0.9278
us-west1-b,1,7102.458603,0.919799984
us-west1-b,2,7048.772484,0.922699988
us-west1-b,3,7042.758465,0.922699988
us-west1-b,4,13887.34532,0.909099996
us-west1-b,5,6990.501665,0.917299986
us-west1-b,6,7045.86101,0.919099987
us-west1-b,7,11344.13564,0.922399998
us-west1-b,8,7108.508678,0.902700007
europe-west1-b,1,7049.455164,0.902400017
europe-west1-b,2,7952.290686,0.923600018
europe-west1-b,3,7044.702678,0.918299973
europe-west1-b,4,7049.520827,0.924799979
europe-west1-b,5,7047.77082,0.919799984
europe-west1-b,6,7114.449398,0.914200008
europe-west1-b,7,7108.505724,0.921500027
europe-west1-b,8,7110.926767,0.924600005
