Run,Duration,Accuracy,Cost
1,821.0471051,0.900300026,1.439760797
2,839.5915868,0.908299983,1.472279781
3,849.6711729,0.903500021,1.489955007
4,852.2064712,0.906199992,1.494400821
5,837.58778,0.911199987,1.468765972
