Zone,Run,Cost
us-central1-c,1,0.8185598576266867
us-central1-c,2,0.8183848646463198
us-central1-c,3,0.8467002362736653
us-central1-c,4,0.855155897582739
us-central1-c,5,0.8181701603150724
us-central1-c,6,0.8196658479161916
us-central1-c,7,0.8186696846131325
us-central1-c,8,0.8190379104151292
us-central1-c,9,0.8095329652909026
us-central1-c,10,0.809637078435177
us-central1-c,11,0.8090282651052204
us-central1-c,12,0.8092859524866448
us-central1-c,13,0.8192204280812814
us-central1-c,14,0.8095900880943451
us-central1-c,15,0.8557797464905595
us-central1-c,16,0.846061130030431
us-east1-c,1,0.9024976377194237
us-east1-c,2,0.8744416589302803
us-east1-c,3,0.8662450022286089
us-east1-c,4,0.827849009738617
us-east1-c,6,0.8738565179359369
us-east1-c,7,0.8182410017623313
us-east1-c,8,0.8179456777056436
us-east1-c,9,0.8181244992423431
us-east1-c,10,0.8185253381101206
us-east1-c,11,0.8279562935378149
us-east1-c,12,0.8183100438972228
us-east1-c,13,0.8185497288861874
us-east1-c,14,0.8287721853958779
us-east1-c,16,0.8194225612007331
us-east1-c,17,0.8194763917602845
us-east1-c,18,0.8191778465447326
us-east1-c,19,0.8092361240359855
