Zone,Run,Duration,Accuracy
us-central1-c,1,5348.122675895691,0.930899977684021
us-central1-c,2,5346.979346036911,0.9308000206947327
us-central1-c,3,5531.979965925217,0.9315999746322632
us-central1-c,4,5587.225667953491,0.9325000047683716
us-central1-c,5,5345.5765590667725,0.9341999888420105
us-central1-c,6,5355.348747014999,0.9327999949455261
us-central1-c,7,5348.840238809586,0.932699978351593
us-central1-c,8,5351.246069908142,0.9279000163078308
us-central1-c,9,5289.144792795181,0.932200014591217
us-central1-c,10,5289.825023889542,0.9277999997138977
us-central1-c,11,5285.847295999527,0.9294000267982483
us-central1-c,12,5287.530915975571,0.9258000254631042
us-central1-c,13,5352.438562870026,0.9327999949455261
us-central1-c,14,5289.518008947372,0.929099977016449
us-central1-c,15,5591.30163192749,0.932699978351593
us-central1-c,16,5527.804316997528,0.9336000084877014
us-east1-c,1,5896.536504030228,0.932699978351593
us-east1-c,2,5713.230646848679,0.9315000176429749
us-east1-c,3,5659.677170991898,0.9336000084877014
us-east1-c,4,5408.814053058624,0.9311000108718872
us-east1-c,6,5709.40758395195,0.9251000285148621
us-east1-c,7,5346.039407014847,0.9329000115394592
us-east1-c,8,5344.109884977341,0.9308000206947327
us-east1-c,9,5345.278228998184,0.9308000206947327
us-east1-c,10,5347.8971400260925,0.9301999807357788
us-east1-c,11,5409.514999866486,0.9273999929428101
us-east1-c,12,5346.490499019623,0.9287999868392944
us-east1-c,13,5348.056499004364,0.9290000200271606
us-east1-c,14,5414.8456909656525,0.9330000281333923
us-east1-c,16,5353.759214878082,0.9314000010490417
us-east1-c,17,5354.110920906067,0.9333000183105469
us-east1-c,18,5352.160353183746,0.9330000281333923
us-east1-c,19,5287.205358028412,0.9344000220298767
