Wall Time,Step,Accuracy,Zone,Run
1549982803.142093,0,0.10000000149011612,us-east1-c,1
1549983061.854111,4007,0.40639999508857727,us-east1-c,1
1549983259.535998,8008,0.6104999780654907,us-east1-c,1
1549983458.142901,12013,0.7907999753952026,us-east1-c,1
1549983716.822932,16016,0.8252000212669373,us-east1-c,1
1549983915.567781,20019,0.8373000025749207,us-east1-c,1
1549984113.770023,24022,0.8658000230789185,us-east1-c,1
1549984371.810488,28023,0.8442999720573425,us-east1-c,1
1549984569.827136,32024,0.8853999972343445,us-east1-c,1
1549984768.454193,36029,0.9090999960899353,us-east1-c,1
1549984966.550026,40032,0.9118000268936157,us-east1-c,1
1549985225.30698,44035,0.911899983882904,us-east1-c,1
1549985423.919247,48038,0.9138000011444092,us-east1-c,1
1549985622.859326,52045,0.9140999913215637,us-east1-c,1
1549985881.07161,56048,0.9136000275611877,us-east1-c,1
1549986079.2415,60051,0.9132999777793884,us-east1-c,1
1549986277.465013,64004,0.9133999943733215,us-east1-c,1
1549986848.311473,0,0.09539999812841415,us-east1-c,2
1549987107.16988,4006,0.47909998893737793,us-east1-c,2
1549987305.477267,8011,0.7454000115394592,us-east1-c,2
1549987502.728581,12012,0.7835999727249146,us-east1-c,2
1549987760.73496,16015,0.8367999792098999,us-east1-c,2
1549987959.294425,20021,0.8374000191688538,us-east1-c,2
1549988157.767747,24023,0.8560000061988831,us-east1-c,2
1549988416.65878,28028,0.8465999960899353,us-east1-c,2
1549988615.480534,32033,0.8981000185012817,us-east1-c,2
1549988814.287812,36035,0.9133999943733215,us-east1-c,2
1549989073.1923,40038,0.9153000116348267,us-east1-c,2
1549989271.316846,44042,0.9138000011444092,us-east1-c,2
1549989470.060678,48048,0.9151999950408936,us-east1-c,2
1549989729.572998,52051,0.9153000116348267,us-east1-c,2
1549989927.802407,56052,0.9156000018119812,us-east1-c,2
1549990126.284892,60056,0.9161999821662903,us-east1-c,2
1549990324.666395,64005,0.9171000123023987,us-east1-c,2
1549990893.816938,0,0.09989999979734421,us-east1-c,3
1549991151.917158,4006,0.46970000863075256,us-east1-c,3
1549991350.687026,8011,0.6664000153541565,us-east1-c,3
1549991548.874016,12014,0.729200005531311,us-east1-c,3
1549991808.338141,16017,0.83160001039505,us-east1-c,3
1549992006.041442,20018,0.8479999899864197,us-east1-c,3
1549992264.77478,24019,0.866599977016449,us-east1-c,3
1549992584.728803,28019,0.8741999864578247,us-east1-c,3
1549992844.488885,32020,0.8906999826431274,us-east1-c,3
1549993163.260035,36021,0.9185000061988831,us-east1-c,3
1549993422.330848,40024,0.9186999797821045,us-east1-c,3
1549993742.113654,44028,0.9189000129699707,us-east1-c,3
1549994001.27436,48030,0.9193000197410583,us-east1-c,3
1549994319.773549,52031,0.9211000204086304,us-east1-c,3
