Zone,Run,Duration,Accuracy
us-east1-c,1,3474.32292,0.913399994
us-east1-c,2,3476.354922,0.917100012
us-east1-c,3,4323.07351,0.921599984
us-east1-c,4,3538.91941,0.925199986
us-east1-c,5,3479.186108,0.913900018
us-east1-c,6,3480.904836,0.921400011
us-east1-c,7,3274.7068,0.9192
us-east1-c,8,3477.297369,0.924799979
us-central1-c,1,3537.690414,0.907400012
us-central1-c,2,3536.906202,0.908999979
us-central1-c,3,3657.145875,0.923799992
us-central1-c,4,3962.819795,0.908999979
us-central1-c,5,3597.281042,0.916000009
us-central1-c,6,3482.536591,0.917699993
us-central1-c,7,3477.636107,0.921400011
us-central1-c,8,4565.080019,0.897800028
us-west1-b,1,3533.335732,0.882200003
us-west1-b,2,6504.615242,0.904699981
us-west1-b,3,3480.394205,0.921700001
us-west1-b,4,3660.545987,0.9278
us-west1-b,5,3479.596072,0.91930002
us-west1-b,6,3535.272348,0.909600019
us-west1-b,7,4263.623173,0.921299994
us-west1-b,8,4564.913513,0.918900013
europe-west1-b,1,3484.360736,0.889299989
europe-west1-b,2,3540.06859,0.874300003
europe-west1-b,3,3841.344155,0.919499993
europe-west1-b,4,3597.070784,0.919499993
europe-west1-b,5,3537.119268,0.909600019
europe-west1-b,6,3542.601776,0.919099987
europe-west1-b,7,3541.249127,0.914900005
europe-west1-b,8,3538.086964,0.89139998
