Zone,Run,Duration,Accuracy,Cost
us-east1-c,1,3474.32292,0.913399994,1.124638329
us-east1-c,2,3476.354922,0.917100012,1.125296088
us-east1-c,3,4323.07351,0.921599984,1.195709186
us-east1-c,4,3538.91941,0.925199986,1.145548213
us-east1-c,5,3479.186108,0.913900018,1.126212543
us-east1-c,6,3480.904836,0.921400011,1.126768895
us-east1-c,8,3477.297369,0.924799979,1.125601158
us-central1-c,1,3537.690414,0.907400012,1.145150387
us-central1-c,2,3536.906202,0.908999979,1.144896538
us-central1-c,3,3657.145875,0.923799992,1.176821033
us-central1-c,4,3962.819795,0.908999979,1.204933527
us-central1-c,5,3597.281042,0.916000009,1.164304343
us-central1-c,6,3482.536591,0.917699993,1.127297095
us-central1-c,7,3477.636107,0.921400011,1.125710808
us-central1-c,8,4565.080019,0.897800028,1.198654701
us-west1-b,1,3533.335732,0.882200003,1.143740776
us-west1-b,2,6504.615242,0.904699981,1.298524719
us-west1-b,3,3480.394205,0.921700001,1.126603604
us-west1-b,4,3660.545987,0.9278,1.163482276
us-west1-b,5,3479.596072,0.91930002,1.126345249
us-west1-b,6,3535.272348,0.909600019,1.144367659
us-west1-b,7,4263.623173,0.921299994,1.192056908
us-west1-b,8,4564.913513,0.918900013,1.201573734
europe-west1-b,1,3484.360736,0.889299989,1.12788757
europe-west1-b,2,3540.06859,0.874300003,1.145920203
europe-west1-b,3,3841.344155,0.919499993,1.182370012
europe-west1-b,4,3597.070784,0.919499993,1.164371813
europe-west1-b,5,3537.119268,0.909600019,1.144965507
europe-west1-b,6,3542.601776,0.919099987,1.146740195
europe-west1-b,7,3541.249127,0.914900005,1.146302342
europe-west1-b,8,3538.086964,0.89139998,1.14527875
