Wall Time,Step,Accuracy,Run
1550989094.229111,0,0.11969999969005585,1
1550989227.099032,4014,0.6294999718666077,1
1550989300.065275,8015,0.7754999995231628,1
1550989432.807691,12017,0.7975000143051147,1
1550989565.491329,16016,0.771399974822998,1
1550989638.544319,20019,0.8458999991416931,1
1550989771.828856,24019,0.8205000162124634,1
1550989904.976874,28022,0.8352000117301941,1
1550989977.579935,32025,0.8737999796867371,1
1550990110.428193,36028,0.9013000130653381,1
1550990243.576804,40029,0.900600016117096,1
1550990376.485493,44032,0.9034000039100647,1
1550990449.632717,48034,0.902899980545044,1
1550990583.056702,52041,0.9043999910354614,1
1550990715.803365,56039,0.9050999879837036,1
1550990788.702606,60040,0.9057000279426575,1
1550990921.571909,64003,0.902999997138977,1
1550991660.729792,0,0.09600000083446503,2
1550991794.169832,4011,0.6244999766349792,2
1550991866.917177,8014,0.784500002861023,2
1550992000.126201,12018,0.7897999882698059,2
1550992133.277697,16022,0.8206999897956848,2
1550992205.623681,20022,0.8260999917984009,2
1550992338.275679,24023,0.8428000211715698,2
1550992471.504263,28024,0.7944999933242798,2
1550992544.72216,32029,0.8708000183105469,2
1550992677.915676,36033,0.901199996471405,2
1550992811.176426,40029,0.9028000235557556,2
1550992883.725912,44029,0.9010000228881836,2
1550993016.922474,48030,0.8988999724388123,2
1550993149.923841,52037,0.9034000039100647,2
1550993222.16775,56039,0.9035000205039978,2
1550993354.934066,60041,0.9036999940872192,2
1550993487.656649,64002,0.9047999978065491,2
1550994269.359438,0,0.10000000149011612,3
1550994402.741887,4007,0.7477999925613403,3
1550994536.49089,8016,0.8144000172615051,3
1550994609.349377,12016,0.8137999773025513,3
1550994742.327175,16019,0.8604999780654907,3
1550994875.522509,20021,0.8471999764442444,3
1550994948.263954,24020,0.8618000149726868,3
1550995081.470804,28025,0.8776999711990356,3
1550995214.655797,32030,0.9039999842643738,3
1550995287.398919,36028,0.9239000082015991,3
1550995420.366998,40030,0.9240999817848206,3
1550995553.579417,44028,0.925599992275238,3
1550995626.158993,48031,0.9261999726295471,3
1550995759.191545,52032,0.9269999861717224,3
1550995891.970808,56030,0.927299976348877,3
1550996025.556583,60033,0.9279000163078308,3
1550996098.209135,64003,0.9271000027656555,3
1550996851.469629,0,0.10109999775886536,4
1550996984.724181,4010,0.5496000051498413,4
1550997057.561887,8011,0.6996999979019165,4
1550997190.726604,12018,0.7239000201225281,4
1550997323.631921,16016,0.8065999746322632,4
1550997456.595121,20022,0.8446999788284302,4
1550997529.506719,24025,0.852400004863739,4
1550997662.387509,28025,0.8208000063896179,4
1550997795.438333,32024,0.8787000179290771,4
1550997867.954238,36025,0.9154000282287598,4
1550998000.683373,40029,0.9168000221252441,4
1550998134.011619,44028,0.917900025844574,4
1550998207.116806,48031,0.9169999957084656,4
1550998340.10574,52030,0.9185000061988831,4
1550998473.999433,56033,0.9185000061988831,4
1550998606.743369,60035,0.9190000295639038,4
1550998679.537618,64004,0.9187999963760376,4
1550999434.975643,0,0.10000000149011612,5
1550999568.359672,4017,0.5235999822616577,5
1550999641.493607,8014,0.6694999933242798,5
1550999774.679184,12017,0.7789999842643738,5
1550999907.935682,16019,0.7508000135421753,5
1551000040.927453,20021,0.8359000086784363,5
1551000113.337917,24022,0.8435999751091003,5
1551000246.177911,28023,0.833299994468689,5
1551000379.138291,32026,0.863099992275238,5
1551000452.035362,36025,0.9054999947547913,5
1551000584.988653,40028,0.9031999707221985,5
1551000718.140271,44030,0.9031000137329102,5
1551000850.856902,48033,0.90420001745224,5
1551000923.253192,52037,0.9045000076293945,5
1551001056.290799,56040,0.9049999713897705,5
1551001189.384601,60041,0.9045000076293945,5
1551001322.203005,64002,0.9053000211715698,5
