Zone,Run,Duration,Accuracy
us-central1-a,1,4378.27433514595,0.9296000003814697
us-central1-a,4,4442.889963150024,0.9232000112533569
us-central1-a,7,4503.156110048294,0.933899998664856
us-central1-a,8,4620.3093428611755,0.9320999979972839
us-central1-a,9,4502.355190038681,0.9247999787330627
us-central1-a,10,4441.893455028534,0.9243000149726868
us-central1-a,12,4379.10741686821,0.9301999807357788
us-central1-a,13,4445.13925909996,0.9228000044822693
us-central1-a,15,4502.619656801224,0.9362000226974487
us-central1-a,16,4746.053092956543,0.9319999814033508
us-central1-a,17,4864.316209077835,0.9337000250816345
us-west1-b,3,4321.635751962662,0.9287999868392944
us-west1-b,4,4382.811858892441,0.9345999956130981
us-west1-b,5,4321.972188949585,0.9262999892234802
us-west1-b,7,4377.486932039261,0.9302999973297119
us-west1-b,9,4438.534056901932,0.9312999844551086
us-west1-b,13,4260.2897481918335,0.9323999881744385
us-west1-b,15,4380.513058900833,0.923799991607666
us-west1-b,17,4378.180759906769,0.9305999875068665
us-west1-b,18,4318.157651185989,0.930899977684021
us-west1-b,20,4379.181527137756,0.9291999936103821
us-west1-b,24,4379.784008979797,0.9351999759674072
us-west1-b,25,4319.2540900707245,0.9286999702453613
us-west1-b,26,4384.580057144165,0.9308000206947327
