Run,Duration,Accuracy,Cost
1,2691,0.911300004,1.1689704
2,2689,0.902499974,1.1681016
3,2691,0.897099972,1.1689704
4,2621,0.906700015,1.1385624
5,2689,0.881799996,1.1681016
