Zone,Run,Duration,Accuracy,Cost
us-central1-c,1,1775.308646,0.825200021,2.922761636
us-central1-c,2,1833.544573,0.886200011,3.018637772
us-west1-b,1,1836.217654,0.8847,3.023038572
us-west1-b,2,1833.243472,0.877799988,3.018142057
us-west1-b,3,1834.687302,0.895600021,3.020519093
us-west1-b,4,1833.505311,0.902199984,3.018573134
europe-west1-b,1,1838.648894,0.8926,3.02704122
europe-west1-b,2,1837.576873,0.888199985,3.025276309
europe-west1-b,3,1838.83081,0.88319999,3.027340716
europe-west1-b,4,1837.490226,0.904699981,3.025133658
