Zone,Run,Duration,Accuracy
us-central1-c,1,1775.3086459636688,0.8252000212669373
us-central1-c,2,1833.5445730686188,0.8862000107765198
us-west1-b,1,1836.2176539897919,0.8847000002861023
us-west1-b,2,1833.2434718608856,0.8777999877929688
us-west1-b,3,1834.6873018741608,0.8956000208854675
us-west1-b,4,1833.505311012268,0.9021999835968018
europe-west1-b,1,1838.648894071579,0.8925999999046326
europe-west1-b,2,1837.5768730640411,0.8881999850273132
europe-west1-b,3,1838.8308100700378,0.8831999897956848
europe-west1-b,4,1837.4902257919312,0.904699981212616
