Run,Duration,Accuracy,Cost
1,1590.776843,0.920000017,1.584996978
2,1647.227542,0.897800028,1.641242571
3,1586.987002,0.917999983,1.581220907
4,1643.476404,0.902400017,1.637505063
5,1644.248343,0.912,1.638274197
