Wall Time,Step,Accuracy,Zone,Run
1550212677.745695,0,0.10180000215768814,us-east1-c,1
1550212936.13635,4007,0.5087000131607056,us-east1-c,1
1550213134.434663,8011,0.7355999946594238,us-east1-c,1
1550213393.405516,12018,0.7559000253677368,us-east1-c,1
1550213590.729927,16020,0.8195000290870667,us-east1-c,1
1550213849.331104,20021,0.84170001745224,us-east1-c,1
1550214046.696829,24024,0.8472999930381775,us-east1-c,1
1550214305.711296,28028,0.8650000095367432,us-east1-c,1
1550214504.30904,32032,0.8891000151634216,us-east1-c,1
1550214762.740107,36035,0.9160000085830688,us-east1-c,1
1550214960.845487,40043,0.9162999987602234,us-east1-c,1
1550215159.197577,44044,0.9174000024795532,us-east1-c,1
1550215417.311694,48050,0.9172000288963318,us-east1-c,1
1550215616.59061,52052,0.917900025844574,us-east1-c,1
1550215875.673932,56054,0.9189000129699707,us-east1-c,1
1550216073.066868,60056,0.9194999933242798,us-east1-c,1
1550216332.200243,64006,0.917900025844574,us-east1-c,1
1550216702.797526,0,0.09740000218153,us-east1-c,2
1550216901.042799,4005,0.4706000089645386,us-east1-c,2
1550217159.468928,8009,0.7125999927520752,us-east1-c,2
1550217356.946691,12010,0.788100004196167,us-east1-c,2
1550217615.346625,16014,0.7990000247955322,us-east1-c,2
1550217813.749895,20017,0.776199996471405,us-east1-c,2
1550218011.580144,24021,0.833299994468689,us-east1-c,2
1550218269.548203,28024,0.8565000295639038,us-east1-c,2
1550218468.145301,32027,0.8863999843597412,us-east1-c,2
1550218665.96488,36031,0.9052000045776367,us-east1-c,2
1550218925.592165,40036,0.9065999984741211,us-east1-c,2
1550219123.566156,44041,0.9052000045776367,us-east1-c,2
1550219321.886857,48042,0.9045000076293945,us-east1-c,2
1550219581.667155,52048,0.9070000052452087,us-east1-c,2
1550219779.776145,56053,0.9075999855995178,us-east1-c,2
1550220038.366366,60056,0.9092000126838684,us-east1-c,2
1550220237.52791,64003,0.907800018787384,us-east1-c,2
1550220619.775717,0,0.10270000249147415,us-east1-c,3
1550220817.837631,4005,0.5216000080108643,us-east1-c,3
1550221076.307161,8009,0.7382000088691711,us-east1-c,3
1550221275.757978,12013,0.7633000016212463,us-east1-c,3
1550221473.783672,16017,0.8123999834060669,us-east1-c,3
1550221732.481773,20024,0.7997999787330627,us-east1-c,3
1550221930.658807,24027,0.7768999934196472,us-east1-c,3
1550222128.513521,28029,0.8575999736785889,us-east1-c,3
1550222387.322638,32033,0.8899999856948853,us-east1-c,3
1550222584.802382,36036,0.9103999733924866,us-east1-c,3
1550222782.99308,40039,0.9081000089645386,us-east1-c,3
1550223041.083724,44041,0.9110999703407288,us-east1-c,3
1550223239.721419,48044,0.9093999862670898,us-east1-c,3
1550223498.856448,52045,0.9114999771118164,us-east1-c,3
1550223697.723893,56048,0.911899983882904,us-east1-c,3
1550223896.057515,60050,0.9133999943733215,us-east1-c,3
1550224094.553628,64006,0.9136999845504761,us-east1-c,3
1550224509.286235,0,0.09929999709129333,us-east1-c,4
1550224707.618867,4005,0.4097999930381775,us-east1-c,4
1550224965.840974,8012,0.7073000073432922,us-east1-c,4
1550225163.916747,12014,0.7513999938964844,us-east1-c,4
1550225422.923784,16020,0.8055999875068665,us-east1-c,4
1550225621.659981,20022,0.7752000093460083,us-east1-c,4
1550225879.738499,24028,0.7529000043869019,us-east1-c,4
1550226077.471509,28032,0.8565000295639038,us-east1-c,4
1550226335.984515,32036,0.8895000219345093,us-east1-c,4
1550226534.435301,36041,0.8985999822616577,us-east1-c,4
1550226732.790562,40044,0.8977000117301941,us-east1-c,4
1550226991.338984,44047,0.8970000147819519,us-east1-c,4
1550227189.256663,48051,0.8960999846458435,us-east1-c,4
1550227448.316425,52052,0.8991000056266785,us-east1-c,4
1550227646.203701,56056,0.8999999761581421,us-east1-c,4
1550227844.903193,60063,0.900600016117096,us-east1-c,4
1550228104.233953,64004,0.8996999859809875,us-east1-c,4
1550228482.534034,0,0.10000000149011612,us-east1-c,5
1550228740.461738,4005,0.45089998841285706,us-east1-c,5
1550228938.586312,8010,0.6708999872207642,us-east1-c,5
1550229197.477904,12014,0.7684000134468079,us-east1-c,5
1550229395.285949,16016,0.7939000129699707,us-east1-c,5
1550229653.534142,20019,0.8389000296592712,us-east1-c,5
1550229850.885876,24022,0.8823999762535095,us-east1-c,5
1550230110.004956,28026,0.8812999725341797,us-east1-c,5
1550230308.041712,32028,0.9003000259399414,us-east1-c,5
1550230566.000219,36032,0.9179999828338623,us-east1-c,5
1550230762.899545,40035,0.9187999963760376,us-east1-c,5
1550231020.96819,44040,0.9197999835014343,us-east1-c,5
1550231219.167502,48045,0.9205999970436096,us-east1-c,5
1550231477.612639,52049,0.9203000068664551,us-east1-c,5
1550231676.048964,56050,0.9223999977111816,us-east1-c,5
1550231934.853542,60053,0.9208999872207642,us-east1-c,5
1550232132.642271,64004,0.9211999773979187,us-east1-c,5
1550212676.870664,0,0.10639999806880951,us-east1-c,6
1550212875.127808,4008,0.49779999256134033,us-east1-c,6
1550213133.484549,8011,0.7390999794006348,us-east1-c,6
1550213330.679994,12017,0.7807999849319458,us-east1-c,6
1550213528.753173,16021,0.8195000290870667,us-east1-c,6
1550213786.73893,20025,0.8087000250816345,us-east1-c,6
1550213983.920482,24033,0.8126000165939331,us-east1-c,6
1550214182.376479,28032,0.847100019454956,us-east1-c,6
1550214440.870283,32036,0.8845000267028809,us-east1-c,6
1550214638.229552,36038,0.9081000089645386,us-east1-c,6
1550214896.801551,40040,0.9063000082969666,us-east1-c,6
1550215095.135182,44045,0.9043999910354614,us-east1-c,6
1550215293.31488,48050,0.9061999917030334,us-east1-c,6
1550215552.444845,52053,0.9068999886512756,us-east1-c,6
1550215750.961977,56057,0.906000018119812,us-east1-c,6
1550215950.469287,60060,0.9070000052452087,us-east1-c,6
1550216209.757147,64004,0.9079999923706055,us-east1-c,6
1550216567.406894,0,0.09989999979734421,us-east1-c,7
1550216825.234156,4006,0.4778999984264374,us-east1-c,7
1550217023.135154,8008,0.5954999923706055,us-east1-c,7
1550217281.987436,12014,0.6672999858856201,us-east1-c,7
1550217479.842299,16017,0.8134999871253967,us-east1-c,7
1550217737.94773,20019,0.8276000022888184,us-east1-c,7
1550217935.934975,24023,0.8557000160217285,us-east1-c,7
1550218133.718354,28027,0.7815999984741211,us-east1-c,7
1550218392.336473,32032,0.8899000287055969,us-east1-c,7
1550218590.548081,36034,0.9108999967575073,us-east1-c,7
1550218848.997232,40034,0.9103000164031982,us-east1-c,7
1550219046.898188,44037,0.9125999808311462,us-east1-c,7
