Zone,Run,Duration,Accuracy
us-east1-c,1,3654.45454788208,0.917900025844574
us-east1-c,2,3534.7303841114044,0.907800018787384
us-east1-c,3,3474.7779109477997,0.9136999845504761
us-east1-c,4,3594.9477179050446,0.8996999859809875
us-east1-c,5,3650.108237028122,0.9211999773979187
us-east1-c,6,3532.886483192444,0.9079999923706055
us-east1-c,7,3651.781341075897,0.9128999710083008
us-east1-c,8,3592.4635298252106,0.9190999865531921
us-east1-c,9,3594.189481973648,0.9265000224113464
us-east1-c,10,3531.9882521629333,0.8934000134468079
