Run,Cost
1,1.1291411227956856
2,1.1589331635504785
3,1.1602536982798886
4,1.1247118356011445
5,1.088327753042343
6,1.156920343803147
7,1.1589042746686369
8,1.1565461183629426
9,1.192220850823538
10,1.1574761765956507
