Zone,Run,Duration,Accuracy,Cost
us-east1-c,1,1901,0.884500027,1.141368441
us-east1-c,2,1832,0.911199987,1.1133064
us-east1-c,3,1837,0.899100006,1.1163449
us-east1-c,4,1778,0.887399971,1.0804906
us-east1-c,5,1958,0.901000023,1.168183703
us-east1-c,6,1844,0.882300019,1.1205988
us-east1-c,7,1838,0.843400002,1.1169526
us-east1-c,8,2016,0.864099979,1.117555802
us-central1-c,1,1839,0.899900019,1.1175603
us-central1-c,2,1840,0.894400001,1.145034169
us-central1-c,3,1834,0.904600024,1.1145218
us-central1-c,4,1840,0.889900029,1.118168
us-central1-c,5,1837,0.883000016,1.1163449
us-central1-c,6,1777,0.896899998,1.0798829
us-central1-c,7,1778,0.882700026,1.0804906
us-central1-c,8,1779,0.875100017,1.0810983
us-central1-c,9,1835,0.887700021,1.1151295
us-west1-b,1,1901,0.90109998,1.144413652
us-west1-b,2,1773,0.889500022,1.0774521
us-west1-b,3,1779,0.891099989,1.0810983
us-west1-b,4,1840,0.89349997,1.118168
us-west1-b,5,1838,0.905600011,1.1169526
us-west1-b,6,1841,0.882300019,1.1187757
us-west1-b,7,1841,0.868799984,1.1187757
us-west1-b,8,1784,0.870199978,1.0841368
us-west1-b,9,1900,0.889400005,1.15463
europe-west1-b,1,1838,0.874300003,1.1169526
europe-west1-b,2,1836,0.864199996,1.1157372
europe-west1-b,3,1839,0.897800028,1.1175603
europe-west1-b,4,1840,0.909200013,1.118168
europe-west1-b,5,1842,0.884000003,1.1193834
europe-west1-b,6,1841,0.903299987,1.1187757
