Run,Duration,Accuracy,Cost
1,1714.506269,0.911000013,1.364701432
2,1776.155372,0.915099978,1.36618561
3,1722.053407,0.905200005,1.364701432
4,1778.565727,0.91900003,1.3201761
5,1836.229716,0.907800019,1.329081166
6,1716.078924,0.912400007,1.3201761
7,1777.563329,0.903199971,1.323886544
8,1724.806188,0.909099996,1.279361212
9,1714.335581,0.921199977,1.323886544
10,1842.359798,0.914099991,1.280103301
