Wall Time,Step,Accuracy,Run
1550718610.596541,0,0.10000000149011612,1
1550718740.341468,4014,0.5049999952316284,1
1550718809.802945,8015,0.7696999907493591,1
1550718939.813829,12018,0.8127999901771545,1
1550719009.45301,16018,0.8411999940872192,1
1550719139.129475,20023,0.8277000188827515,1
1550719268.719439,24026,0.8220000267028809,1
1550719338.28797,28028,0.843500018119812,1
1550719468.019456,32028,0.8827000260353088,1
1550719537.702576,36033,0.9071999788284302,1
1550719667.434077,40037,0.9092000126838684,1
1550719797.021686,44038,0.9085000157356262,1
1550719866.683176,48041,0.909500002861023,1
1550719996.281609,52043,0.9104999899864197,1
1550720065.724824,56041,0.9104999899864197,1
1550720195.475117,60047,0.9103000164031982,1
1550720325.10281,64006,0.9110000133514404,1
1550799465.187891,0,0.10000000149011612,2
1550799534.63428,4010,0.43479999899864197,2
1550799664.205511,8018,0.6625000238418579,2
1550799794.123867,12018,0.7688000202178955,2
1550799863.71853,16025,0.8119999766349792,2
1550799993.520327,20024,0.7764999866485596,2
1550800123.373096,24027,0.8396000266075134,2
1550800193.033281,28031,0.8519999980926514,2
1550800322.881063,32033,0.8851000070571899,2
1550800452.880403,36031,0.9143999814987183,2
1550800582.600278,40038,0.9146999716758728,2
1550800652.277138,44039,0.9132999777793884,2
1550800782.058538,48038,0.9132999777793884,2
1550800912.045674,52040,0.914900004863739,2
1550800981.670568,56041,0.916100025177002,2
1550801111.497924,60049,0.9161999821662903,2
1550801241.343263,64005,0.9150999784469604,2
1550801749.619124,0,0.10000000149011612,3
1550801819.796578,4017,0.44279998540878296,3
1550801949.966412,8017,0.5156999826431274,3
1550802079.879922,12020,0.7307000160217285,3
1550802149.780102,16020,0.734499990940094,3
1550802280.020189,20026,0.7986999750137329,3
1550802409.94309,24027,0.8144999742507935,3
1550802479.876627,28027,0.8422999978065491,3
1550802609.964863,32030,0.8788999915122986,3
1550802740.458999,36032,0.9043999910354614,3
1550802810.284924,40039,0.9039999842643738,3
1550802940.787394,44037,0.9014000296592712,3
1550803071.240973,48039,0.9028000235557556,3
1550803141.571392,52043,0.904699981212616,3
1550803271.625721,56041,0.9050999879837036,3
1550803401.564256,60050,0.9049000144004822,3
1550803471.672531,64005,0.9052000045776367,3
1550804023.085269,0,0.10000000149011612,4
1550804092.90143,4013,0.527899980545044,4
1550804222.727158,8020,0.7580999732017517,4
1550804352.48452,12020,0.8198999762535095,4
1550804422.564491,16024,0.8032000064849854,4
1550804552.406018,20030,0.8317000269889832,4
1550804682.457397,24034,0.8644000291824341,4
