Wall Time,Step,Accuracy
1549607138.348746,0,0.09709999710321426
1549607272.130756,4010,0.47609999775886536
1549607465.978671,8015,0.690500020980835
1549607599.506984,12019,0.7710000276565552
1549607792.993544,16027,0.7904000282287598
1549607986.176674,20030,0.8215000033378601
1549608119.485213,24035,0.84170001745224
1549608313.091693,28041,0.8215000033378601
1549608506.822189,32046,0.8845999836921692
1549608700.573472,36046,0.9021000266075134
1549608833.910747,40052,0.9052000045776367
1549609027.544839,44057,0.9010000228881836
1549609221.760957,48060,0.9054999947547913
1549609356.020351,52062,0.9067000150680542
1549609549.740601,56066,0.9078999757766724
1549609743.177118,60068,0.9067000150680542
1549609877.024625,64007,0.9067999720573425
