Wall Time,Step,Accuracy
1549602772.294721,0,0.10000000149011612
1549602845.566539,4018,0.3190000057220459
1549602978.898191,8029,0.41679999232292175
1549603113.602919,12037,0.5533000230789185
1549603247.043285,16039,0.656000018119812
1549603380.722276,20043,0.6610999703407288
1549603514.00208,24055,0.8130000233650208
1549603647.572363,28058,0.8223999738693237
1549603720.611546,32061,0.8766999840736389
1549603853.980545,36073,0.8939999938011169
1549603987.255375,40080,0.8949000239372253
1549604120.715808,44091,0.8978999853134155
1549604254.287628,48102,0.8956000208854675
1549604387.674346,52105,0.8964999914169312
1549604520.919029,56116,0.8974999785423279
1549604654.01548,60117,0.8974999785423279
1549604727.319932,64010,0.8974999785423279
