Wall Time,Step,Accuracy
1549606697.411022,0,0.10000000149011612
1549606891.211089,4006,0.46380001306533813
1549607085.500389,8010,0.699400007724762
1549607339.52033,12012,0.7660999894142151
1549607532.906216,16016,0.7567999958992004
1549607726.445224,20017,0.7906000018119812
1549607980.237117,24020,0.8611999750137329
1549608174.034091,28023,0.8435999751091003
1549608428.70045,32027,0.8870000243186951
1549608622.796052,36029,0.9108999967575073
1549608876.689461,40029,0.9104999899864197
1549609070.167884,44031,0.9099000096321106
1549609263.841002,48035,0.906499981880188
1549609517.849781,52040,0.9125999808311462
1549609711.553759,56045,0.9118000268936157
1549609965.469422,60047,0.9125999808311462
1549610160.916253,64004,0.9121999740600586
