Wall Time,Step,Accuracy
1549599572.030833,0,0.09269999712705612
1549600007.055048,4002,0.5432000160217285
1549600441.903693,8003,0.6639999747276306
1549600876.813806,12004,0.779699981212616
1549601311.382017,16005,0.8172000050544739
1549601746.614094,20006,0.8148000240325928
1549602181.448467,24006,0.8518000245094299
1549602616.239951,28007,0.8551999926567078
1549603051.363633,32008,0.8722000122070312
1549603486.351304,36010,0.9161999821662903
1549603921.64288,40013,0.9175999760627747
1549604356.74891,44014,0.9178000092506409
1549604792.031111,48014,0.9171000123023987
1549605227.973615,52014,0.9196000099182129
1549605662.97643,56014,0.9189000129699707
1549606098.338723,60015,0.917900025844574
1549606533.298298,64002,0.9182000160217285
