Wall Time,Step,Accuracy
1549601781.068465,0,0.10000000149011612
1549602035.45046,4008,0.4359999895095825
1549602350.307008,8009,0.6524999737739563
1549602664.866693,12013,0.7196000218391418
1549602918.740083,16014,0.7742999792098999
1549603233.081835,20016,0.7954999804496765
1549603547.892137,24019,0.8166000247001648
1549603861.769614,28021,0.8230000138282776
1549604115.882648,32023,0.8690999746322632
1549604429.838126,36025,0.8952999711036682
1549604744.152389,40029,0.8962000012397766
1549604998.847245,44032,0.8946999907493591
1549605313.767925,48033,0.8967999815940857
1549605628.200158,52036,0.8966000080108643
1549605942.717604,56037,0.8967999815940857
1549606196.752053,60041,0.8973000049591064
1549606511.506652,64003,0.8973000049591064
