Wall Time,Step,Accuracy
1549602189.461185,0,0.10000000149011612
1549602323.139171,4010,0.36980000138282776
1549602457.730623,8018,0.4916999936103821
1549602590.939678,12020,0.6273999810218811
1549602784.666045,16025,0.767799973487854
1549602917.919068,20035,0.7998999953269958
1549603051.40205,24049,0.8331000208854675
1549603184.533786,28049,0.8062000274658203
1549603318.243604,32052,0.885699987411499
1549603512.053086,36057,0.9009000062942505
1549603645.228308,40059,0.9010000228881836
1549603779.200262,44062,0.9018999934196472
1549603913.352941,48071,0.9004999995231628
1549604107.303848,52071,0.9021999835968018
1549604240.985819,56078,0.9014999866485596
1549604374.108725,60076,0.9018999934196472
1549604507.57641,64008,0.9021000266075134
