Wall Time,Step,Accuracy
1549600213.265215,0,0.11729999631643295
1549600347.059492,4024,0.2847999930381775
1549600419.766613,8040,0.44179999828338623
1549600553.139782,12067,0.5835999846458435
1549600686.513074,16074,0.6365000009536743
1549600759.743659,20081,0.7605999708175659
1549600893.179923,24089,0.8309999704360962
1549601026.470852,28097,0.7972999811172485
1549601099.887128,32108,0.8855000138282776
1549601233.172608,36111,0.89410001039505
1549601306.28111,40119,0.8966000080108643
1549601439.551114,44128,0.8966000080108643
1549601573.050869,48144,0.8932999968528748
1549601646.477675,52140,0.89410001039505
1549601780.258827,56152,0.8952999711036682
1549601913.593542,60160,0.8950999975204468
1549601986.955545,64011,0.8978999853134155
