Run,Duration,Accuracy,Cost
1,6553.549611,0.924799979,1.450955884
2,6553.138451,0.925100029,1.450864853
3,6674.825294,0.905099988,1.47780632
4,6649.095879,0.923799992,1.472109828
5,6652.632986,0.923399985,1.472892943
