Wall Time,Step,Accuracy,Run
1550722699,0,0.100000001,1
1550722829,4007,0.638499975,1
1550722959,8012,0.779299974,1
1550723089,12018,0.81190002,1
1550723219,16021,0.864499986,1
1550723289,20021,0.851000011,1
1550723419,24023,0.824199975,1
1550723548,28024,0.870400012,1
1550723618,32027,0.885900021,1
1550723748,36027,0.913999975,1
1550723879,40031,0.914799988,1
1550724009,44030,0.915499985,1
1550724078,48038,0.918099999,1
1550724208,52037,0.918500006,1
1550724338,56041,0.918099999,1
1550724468,60043,0.918600023,1
1550724538,64005,0.919399977,1
1550728783,0,0.0999,2
1550728913,4018,0.408399999,2
1550729043,8019,0.720099986,2
1550729113,12024,0.728100002,2
1550729243,16024,0.802900016,2
1550729374,20023,0.820800006,2
1550729443,24026,0.81099999,2
1550729573,28027,0.826900005,2
1550729703,32033,0.858299971,2
1550729833,36031,0.897400022,2
1550729903,40037,0.897199988,2
1550730033,44038,0.893899977,2
1550730163,48041,0.893700004,2
1550730294,52041,0.896899998,2
1550730363,56047,0.896600008,2
1550730494,60051,0.896099985,2
1550730624,64003,0.897300005,2
1550759464,0,0.104000002,3
1550759594,4014,0.508000016,3
1550759664,8020,0.66109997,3
1550759794,12022,0.786899984,3
1550759924,16024,0.808200002,3
1550760054,20027,0.808300018,3
1550760124,24029,0.813399971,3
1550760253,28033,0.860099971,3
1550760383,32034,0.895399988,3
1550760513,36034,0.915799975,3
1550760583,40042,0.918200016,3
1550760713,44043,0.917599976,3
1550760843,48044,0.919799984,3
1550760973,52044,0.920099974,3
1550761043,56047,0.921400011,3
1550761173,60049,0.921599984,3
1550761303,64005,0.921400011,3
1550765615,0,0.097400002,4
1550765745,4012,0.383399993,4
1550765815,8012,0.510999978,4
1550765945,12014,0.640100002,4
1550766075,16020,0.772899985,4
1550766144,20023,0.772499979,4
1550766274,24023,0.798600018,4
1550766404,28031,0.8222,4
1550766474,32032,0.854300022,4
1550766604,36035,0.887600005,4
1550766735,40033,0.891499996,4
1550766805,44033,0.889400005,4
1550766935,48036,0.891900003,4
1550767064,52039,0.892799973,4
1550767134,56044,0.89230001,4
1550767264,60060,0.891499996,4
1550767394,64005,0.893000007,4
1550790796,0,0.110399999,5
1550790927,4014,0.500500023,5
1550791058,8015,0.759899974,5
1550791129,12016,0.803499997,5
1550791259,16021,0.821099997,5
1550791390,20045,0.824800014,5
1550791460,24047,0.853299975,5
1550791591,28048,0.826300025,5
1550791722,32051,0.894699991,5
1550791792,36054,0.910399973,5
1550791923,40056,0.909699976,5
1550792054,44057,0.911899984,5
1550792184,48057,0.912400007,5
1550792255,52063,0.912999988,5
1550792386,56063,0.912,5
1550792517,60066,0.913299978,5
1550792587,64005,0.912299991,5
1550793135,0,0.101899996,6
1550793205,4014,0.454899997,6
1550793335,8018,0.664399981,6
1550793465,12021,0.783500016,6
1550793595,16024,0.72240001,6
1550793664,20028,0.779500008,6
1550793794,24027,0.804899991,6
1550793924,28048,0.853200018,6
1550794054,32052,0.857299984,6
1550794124,36057,0.899600029,6
1550794254,40061,0.900699973,6
1550794385,44063,0.905499995,6
1550794455,48068,0.905300021,6
1550794585,52071,0.906799972,6
1550794714,56070,0.906700015,6
1550794844,60075,0.906400025,6
1550794914,64005,0.907199979,6
1550790796,0,0.100000001,7
1550790866,4013,0.431400001,7
1550790997,8017,0.690299988,7
1550791127,12019,0.760999978,7
1550791257,16025,0.795899987,7
1550791328,20023,0.806400001,7
1550791458,24025,0.795000017,7
1550791588,28033,0.815900028,7
1550791718,32035,0.890100002,7
1550791788,36035,0.91109997,7
1550791919,40039,0.913900018,7
1550792049,44038,0.913600028,7
1550792180,48044,0.916599989,7
1550792250,52047,0.915400028,7
1550792380,56047,0.914799988,7
1550792510,60048,0.915899992,7
1550792580,64004,0.914499998,7
1550794209,0,0.100000001,8
1550794279,4012,0.50059998,8
1550794409,8015,0.644200027,8
1550794479,12016,0.743700027,8
1550794610,16022,0.803499997,8
1550794740,20021,0.78640002,8
1550794810,24026,0.857800007,8
1550794941,28026,0.846099973,8
1550795071,32032,0.889199972,8
1550795141,36033,0.919099987,8
1550795272,40031,0.919200003,8
1550795402,44032,0.919099987,8
1550795472,48035,0.919099987,8
1550795603,52037,0.922100008,8
1550795733,56041,0.922100008,8
1550795803,60040,0.921800017,8
1550795933,64005,0.922599971,8
1550796973,0,0.111199997,9
1550797043,4015,0.40110001,9
1550797175,8019,0.580500007,9
1550797306,12021,0.785399973,9
1550797377,16030,0.834699988,9
1550797507,20034,0.847599983,9
1550797637,24037,0.851199985,9
1550797707,28038,0.862699986,9
1550797837,32040,0.885800004,9
1550797967,36046,0.907100022,9
1550798097,40044,0.910000026,9
1550798166,44050,0.904399991,9
1550798298,48053,0.909799993,9
1550798428,52057,0.911199987,9
1550798497,56056,0.911599994,9
1550798627,60058,0.91079998,9
1550798757,64003,0.910000026,9
1550796975,0,0.098700002,10
1550797045,4015,0.374000013,10
1550797175,8017,0.760900021,10
1550797308,12016,0.761300027,10
1550797378,16019,0.825100005,10
1550797508,20021,0.83890003,10
1550797638,24025,0.846000016,10
1550797708,28025,0.851899981,10
1550797838,32032,0.880999982,10
1550797908,36034,0.911300004,10
1550798038,40033,0.912199974,10
1550798169,44035,0.912500024,10
1550798239,48042,0.91140002,10
1550798370,52042,0.912299991,10
1550798500,56041,0.912800014,10
1550798570,60041,0.913600028,10
1550798700,64003,0.912400007,10
