Run,Duration,Accuracy,Cost
1,1839,0.919399977,1.206343101
2,1841,0.897300005,1.207655056
3,1839,0.921400011,1.206343101
4,1779,0.893000007,1.166984435
5,1791,0.912299991,1.174856168
6,1779,0.907199979,1.166984435
7,1784,0.914499998,1.170264324
8,1724,0.922599971,1.130905658
9,1784,0.910000026,1.170264324
10,1725,0.912400007,1.131561636
