Run,Duration,Accuracy,Cost
1,1905.940037,0.902100027,1.098583837
2,1908.769321,0.883000016,1.100214637
3,1907.327712,0.909399986,1.099383693
4,1907.13858,0.8829,1.099274677
5,1907.113186,0.893400013,1.09926004
