Wall Time,Step,Accuracy,Run
1550974902.470102,0,0.10000000149011612,1
1550974976.382425,4030,0.3889999985694885,1
1550975050.049831,12053,0.6502000093460083,1
1550975123.778307,16063,0.7174000144004822,1
1550975197.736702,20063,0.7716000080108643,1
1550975210.876463,24071,0.7581999897956848,1
1550975284.658133,28086,0.8112000226974487,1
1550975358.218576,32089,0.8751999735832214,1
1550975371.639394,36091,0.8944000005722046,1
1550975445.661425,40101,0.894599974155426,1
1550975519.369483,44101,0.891700029373169,1
1550975532.605511,48120,0.8919000029563904,1
1550975606.445598,52123,0.8946999907493591,1
1550975680.365873,56120,0.8956000208854675,1
1550975693.469011,60136,0.8953999876976013,1
1550975768.908891,64008,0.8952000141143799,1
1550978798.1709,0,0.10000000149011612,2
1550978872.221982,4029,0.36329999566078186,2
1550978945.724951,8028,0.6353999972343445,2
1550978959.023442,12039,0.6603999733924866,2
1550979033.174308,16040,0.7764999866485596,2
1550979106.928729,20045,0.7953000068664551,2
1550979120.39061,24052,0.8191999793052673,2
1550979194.154375,28063,0.7613999843597412,2
1550979267.613039,32068,0.8834999799728394,2
1550979281.295019,36072,0.9039999842643738,2
1550979355.113119,40077,0.9023000001907349,2
1550979429.255333,44084,0.9042999744415283,2
1550979442.176408,48089,0.9028000235557556,2
1550979515.723834,52093,0.9038000106811523,2
1550979589.423416,56103,0.9050999879837036,2
1550979663.2951,64008,0.9041000008583069,2
1550983953.385496,0,0.10019999742507935,3
1550984026.749021,4039,0.390500009059906,3
1550984039.564777,8034,0.579800009727478,3
1550984112.845684,12040,0.7243000268936157,3
1550984186.166724,16048,0.7878000140190125,3
1550984199.291677,20049,0.8169999718666077,3
1550984272.871185,24054,0.7716000080108643,3
1550984346.367972,32056,0.8736000061035156,3
1550984419.774884,36067,0.8927000164985657,3
1550984493.325064,40082,0.8921999931335449,3
1550984567.323575,48089,0.8935999870300293,3
1550984640.949549,52086,0.8966000080108643,3
1550984714.476231,56098,0.8974999785423279,3
1550984728.055816,60102,0.8960999846458435,3
1550984801.279936,64006,0.895799994468689,3
1550985701.451831,0,0.11249999701976776,4
1550985775.001369,4038,0.48989999294281006,4
1550985788.364063,8035,0.6754999756813049,4
1550985861.752668,12053,0.8008000254631042,4
1550985935.448561,20064,0.7872999906539917,4
1550986009.133371,24063,0.8371000289916992,4
1550986083.059574,28067,0.8521999716758728,4
1550986096.167334,32068,0.8912000060081482,4
1550986169.865585,36083,0.9027000069618225,4
1550986243.858441,40088,0.902899980545044,4
1550986257.268174,44092,0.9017000198364258,4
1550986331.400116,48103,0.9042999744415283,4
1550986405.442154,56112,0.9039000272750854,4
1550986479.070767,60118,0.9049000144004822,4
1550986553.230848,64007,0.9039999842643738,4
1550987425.373152,0,0.1128000020980835,5
1550987498.721446,4023,0.2062000036239624,5
1550987572.110161,8039,0.3682999908924103,5
1550987646.262152,12046,0.39079999923706055,5
1550987659.602993,16043,0.5835000276565552,5
1550987733.590143,20049,0.6262999773025513,5
1550987806.729442,24053,0.6898999810218811,5
1550987820.416399,28071,0.7542999982833862,5
1550987894.052585,32057,0.852400004863739,5
1550987967.90541,36073,0.8761000037193298,5
1550988041.323382,44079,0.8770999908447266,5
1550988114.928699,48091,0.8779000043869019,5
1550988189.389616,52092,0.8812999725341797,5
1550988203.225038,56104,0.8797000050544739,5
1550988276.868273,60111,0.8816999793052673,5
1550988350.260591,64007,0.8801000118255615,5
