Run,Duration,Accuracy,Cost
1,866.4387889,0.895200014,1.312134867
2,865.1241999,0.904100001,1.310144054
3,847.8944402,0.895799994,1.284051306
4,851.779017,0.903999984,1.289934109
5,924.887439,0.880100012,1.400649501
