Zone,Run,Duration,Accuracy,Cost
us-east1-c,1,7283.886768,0.90990001,3.214816264
us-east1-c,2,6982.140929,0.924199998,3.08163772
us-east1-c,3,7406.4029,0.930199981,3.268889984
us-east1-c,4,7166.934799,0.920700014,3.163198343
us-east1-c,5,6923.670836,0.917100012,3.05583136
us-east1-c,6,7163.595199,0.918600023,3.161724377
us-east1-c,7,6926.126685,0.920899987,3.056915274
us-east1-c,8,6924.409527,0.905499995,3.056157389
us-east1-c,9,7410.11651,0.916899979,3.270529023
us-east1-c,10,7536.45765,0.925899982,3.326290948
