Wall Time,Step,Accuracy,Zone,Run
1550242205.91139,0,0.10769999772310257,us-east1-c,1
1550242705.898175,4001,0.6464999914169312,us-east1-c,1
1550243146.612389,8003,0.7849000096321106,us-east1-c,1
1550243586.400054,12004,0.8295000195503235,us-east1-c,1
1550244025.687577,16006,0.8343999981880188,us-east1-c,1
1550244526.024029,20006,0.8230999708175659,us-east1-c,1
1550244966.373211,24008,0.8651000261306763,us-east1-c,1
1550245406.735944,28008,0.829200029373169,us-east1-c,1
1550245846.877456,32009,0.8700000047683716,us-east1-c,1
1550246347.667075,36009,0.9052000045776367,us-east1-c,1
1550246787.290549,40010,0.907800018787384,us-east1-c,1
1550247227.825507,44012,0.9083999991416931,us-east1-c,1
1550247667.556937,48013,0.9096999764442444,us-east1-c,1
1550248169.02072,52015,0.9097999930381775,us-east1-c,1
1550248608.822566,56016,0.9092000126838684,us-east1-c,1
1550249048.412716,60017,0.9089000225067139,us-east1-c,1
1550249489.798158,64001,0.9099000096321106,us-east1-c,1
1550249818.600074,0,0.10000000149011612,us-east1-c,2
1550250319.048859,4005,0.5748000144958496,us-east1-c,2
1550250759.077233,8005,0.8119000196456909,us-east1-c,2
1550251138.819976,12006,0.8398000001907349,us-east1-c,2
1550251579.340893,16007,0.8569999933242798,us-east1-c,2
1550252019.460859,20007,0.8605999946594238,us-east1-c,2
1550252458.970293,24007,0.8744999766349792,us-east1-c,2
1550252898.287968,28007,0.8651999831199646,us-east1-c,2
1550253338.607602,32007,0.84170001745224,us-east1-c,2
1550253778.369127,36008,0.9211000204086304,us-east1-c,2
1550254218.034995,40010,0.9203000068664551,us-east1-c,2
1550254657.698822,44011,0.9229999780654907,us-east1-c,2
1550255098.993758,48012,0.921999990940094,us-east1-c,2
1550255539.817933,52013,0.9225000143051147,us-east1-c,2
1550255980.167007,56014,0.9236999750137329,us-east1-c,2
1550256420.543747,60016,0.9240999817848206,us-east1-c,2
1550256800.741003,64001,0.9241999983787537,us-east1-c,2
1550242237.90007,0,0.10000000149011612,us-east1-c,3
1550242738.613229,4001,0.7544000148773193,us-east1-c,3
1550243179.455487,8001,0.8202999830245972,us-east1-c,3
1550243619.776946,12002,0.8353000283241272,us-east1-c,3
1550244119.963846,16004,0.8636999726295471,us-east1-c,3
1550244559.607442,20004,0.8571000099182129,us-east1-c,3
1550245059.999701,24006,0.8578000068664551,us-east1-c,3
1550245500.688394,28008,0.8472999930381775,us-east1-c,3
1550245940.997652,32010,0.8912000060081482,us-east1-c,3
1550246441.116341,36010,0.9264000058174133,us-east1-c,3
1550246881.84953,40010,0.9273999929428101,us-east1-c,3
1550247321.951096,44011,0.9276999831199646,us-east1-c,3
1550247823.012916,48013,0.9258000254631042,us-east1-c,3
1550248263.34891,52014,0.928600013256073,us-east1-c,3
1550248763.87375,56015,0.9291999936103821,us-east1-c,3
1550249204.092764,60015,0.9301000237464905,us-east1-c,3
1550249644.30297,64002,0.9301999807357788,us-east1-c,3
1550250040.152955,0,0.10000000149011612,us-east1-c,4
1550250480.092023,4003,0.6360999941825867,us-east1-c,4
1550250920.283461,8005,0.7688000202178955,us-east1-c,4
1550251360.568788,12007,0.8206999897956848,us-east1-c,4
1550251801.946643,16008,0.84579998254776,us-east1-c,4
1550252303.2417,20009,0.8585000038146973,us-east1-c,4
1550252743.365641,24010,0.8629000186920166,us-east1-c,4
1550253184.025037,28011,0.8644000291824341,us-east1-c,4
1550253623.50319,32013,0.8804000020027161,us-east1-c,4
1550254063.825421,36014,0.9190000295639038,us-east1-c,4
1550254503.949899,40015,0.9187999963760376,us-east1-c,4
1550255005.149603,44016,0.9187999963760376,us-east1-c,4
1550255445.885757,48018,0.9179999828338623,us-east1-c,4
1550255885.972538,52019,0.9221000075340271,us-east1-c,4
1550256326.113226,56020,0.920799970626831,us-east1-c,4
1550256766.248975,60022,0.9203000068664551,us-east1-c,4
1550257207.087754,64001,0.9207000136375427,us-east1-c,4
1550242238.284153,0,0.10000000149011612,us-east1-c,5
1550242677.873494,4002,0.6395000219345093,us-east1-c,5
1550243118.011998,8003,0.8061000108718872,us-east1-c,5
1550243558.431443,12004,0.8314999938011169,us-east1-c,5
1550243998.351622,16005,0.8421000242233276,us-east1-c,5
1550244439.535856,20006,0.8483999967575073,us-east1-c,5
1550244879.75477,24007,0.8521999716758728,us-east1-c,5
1550245259.813192,28007,0.8313999772071838,us-east1-c,5
1550245700.865857,32009,0.8712999820709229,us-east1-c,5
1550246140.868504,36011,0.9143999814987183,us-east1-c,5
1550246580.187115,40012,0.9133999943733215,us-east1-c,5
1550247020.607496,44013,0.9136999845504761,us-east1-c,5
1550247461.267157,48014,0.9176999926567078,us-east1-c,5
1550247901.056798,52015,0.9176999926567078,us-east1-c,5
1550248341.00555,56016,0.9176999926567078,us-east1-c,5
1550248781.657252,60017,0.916700005531311,us-east1-c,5
1550249161.954989,64002,0.9171000123023987,us-east1-c,5
1550250227.468523,0,0.10949999839067459,us-east1-c,6
1550250666.990813,4002,0.5170000195503235,us-east1-c,6
1550251107.2851,8004,0.682699978351593,us-east1-c,6
1550251546.764297,12005,0.7996000051498413,us-east1-c,6
1550251987.415721,16006,0.7886999845504761,us-east1-c,6
1550252488.499702,20008,0.8240000009536743,us-east1-c,6
1550252929.471813,24010,0.824400007724762,us-east1-c,6
1550253369.508888,28012,0.8623999953269958,us-east1-c,6
1550253808.64258,32014,0.8855999708175659,us-east1-c,6
1550254249.114895,36016,0.9150999784469604,us-east1-c,6
1550254689.163583,40018,0.9157000184059143,us-east1-c,6
1550255190.37139,44019,0.9150999784469604,us-east1-c,6
1550255629.796683,48022,0.9157999753952026,us-east1-c,6
1550256069.490053,52023,0.9174000024795532,us-east1-c,6
1550256510.080162,56023,0.9165999889373779,us-east1-c,6
1550256949.902588,60024,0.9175000190734863,us-east1-c,6
1550257391.063722,64001,0.9186000227928162,us-east1-c,6
1550242237.782409,0,0.10010000318288803,us-east1-c,7
1550242677.647954,4003,0.5863999724388123,us-east1-c,7
1550243117.536423,8005,0.7784000039100647,us-east1-c,7
1550243558.886089,12007,0.8019000291824341,us-east1-c,7
1550243998.515293,16008,0.8145999908447266,us-east1-c,7
