Wall Time,Step,Accuracy,Run
1551028290.437351,0,0.10040000081062317,1
1551028363.01106,4026,0.37610000371932983,1
1551028435.920621,8040,0.3671000003814697,1
1551028508.862667,12052,0.6173999905586243,1
1551028642.238683,16066,0.6984000205993652,1
1551028714.904581,20074,0.7967000007629395,1
1551028787.742314,24083,0.7853000164031982,1
1551028861.071537,28089,0.8133999705314636,1
1551028994.403278,32098,0.8853999972343445,1
1551029066.898994,36111,0.9036999940872192,1
1551029139.596329,40122,0.900600016117096,1
1551029212.294648,44129,0.9031000137329102,1
1551029285.390693,48140,0.9028000235557556,1
1551029418.641647,52145,0.9031000137329102,1
1551029491.822684,56147,0.9034000039100647,1
1551029564.260891,60152,0.9023000001907349,1
1551029637.568273,64011,0.9020000100135803,1
1551030467.12857,0,0.10000000149011612,2
1551030540.018511,4020,0.39629998803138733,2
1551030612.714371,8027,0.7037000060081482,2
1551030745.617968,12036,0.7483000159263611,2
1551030818.670483,16043,0.8130000233650208,2
1551030891.657941,20046,0.8248999714851379,2
1551030964.190111,24054,0.8529999852180481,2
1551031097.858082,28069,0.8565000295639038,2
1551031170.630925,32074,0.8999999761581421,2
1551031243.268606,36082,0.9162999987602234,2
1551031315.786633,40086,0.9146999716758728,2
1551031388.209335,44091,0.9150000214576721,2
1551031521.318262,48099,0.916700005531311,2
1551031593.821954,52108,0.9165999889373779,2
1551031666.411639,56110,0.9169999957084656,2
1551031739.212862,60119,0.9165999889373779,2
1551031872.477754,64006,0.9158999919891357,2
1551032662.423624,0,0.10189999639987946,3
1551032735.564014,4024,0.5,3
1551032868.924977,8026,0.6227999925613403,3
1551032941.83625,12037,0.76419997215271,3
1551033014.960503,16042,0.8047000169754028,3
1551033088.168939,20051,0.8281000256538391,3
1551033221.228926,24054,0.7983999848365784,3
1551033294.323935,28060,0.8476999998092651,3
1551033367.043567,32070,0.8917999863624573,3
1551033440.096448,36073,0.9045000076293945,3
1551033512.945375,40080,0.9017000198364258,3
1551033646.11986,44086,0.9027000069618225,3
1551033718.738672,48090,0.9006999731063843,3
1551033791.784629,52100,0.9010000228881836,3
1551033864.81363,56106,0.9014000296592712,3
1551033998.10792,60116,0.9016000032424927,3
1551034071.072959,64006,0.9017000198364258,3
1551034882.99209,0,0.10119999945163727,4
1551034957.079179,4027,0.3977000117301941,4
1551035030.219063,8033,0.4819999933242798,4
1551035103.768441,12046,0.6262999773025513,4
1551035238.283254,16049,0.7211999893188477,4
1551035311.077595,20060,0.7491000294685364,4
1551035383.697034,24073,0.7940000295639038,4
1551035456.560894,28076,0.8274000287055969,4
1551035529.369189,32087,0.8693000078201294,4
1551035602.627033,36090,0.8841000199317932,4
1551035736.236889,40092,0.8873000144958496,4
1551035809.340031,44098,0.8855000138282776,4
1551035882.822851,48107,0.8840000033378601,4
1551035955.824999,52113,0.8878999948501587,4
1551036028.816859,56122,0.8870000243186951,4
1551036101.435447,60127,0.8880000114440918,4
1551036174.513056,64008,0.8873999714851379,4
1551037018.064812,0,0.08630000054836273,5
1551037090.672408,4029,0.43230000138282776,5
1551037163.505159,8033,0.5640000104904175,5
1551037236.168207,12038,0.6794999837875366,5
1551037369.202331,16044,0.7439000010490417,5
1551037441.827248,20052,0.7749000191688538,5
1551037514.55697,24060,0.8162999749183655,5
1551037587.133488,28075,0.8427000045776367,5
1551037720.954926,32084,0.878600001335144,5
1551037794.096539,36082,0.8950999975204468,5
1551037866.971956,40095,0.8959000110626221,5
1551037939.652422,44106,0.8949000239372253,5
1551038072.912579,48117,0.8952000141143799,5
1551038145.596426,52129,0.8967000246047974,5
1551038218.465127,56128,0.8970999717712402,5
1551038291.276489,60143,0.8960999846458435,5
1551038424.426412,64008,0.8974999785423279,5
