Run,Cost
1,1.1230277997294886
2,1.1195456596981996
3,1.0805314191410502
4,1.0417287334542964
5,1.0812043449570805
6,1.2796756348411973
7,1.0788031323403127
8,1.080219256216238
9,1.0794633803232232
10,1.0776284911406278
