Run,Duration,Accuracy,Cost
1,1722.64083,0.908100009,1.1230278
2,1717.299487,0.911899984,1.11954566
3,1657.454554,0.919399977,1.080531419
4,1597.93413,0.923699975,1.041728733
5,1658.486772,0.915000021,1.081204345
6,1962.926918,0.907299995,1.279675635
7,1654.803491,0.912899971,1.078803132
8,1656.975719,0.906599998,1.080219256
9,1655.816262,0.908100009,1.07946338
10,1653.001679,0.921800017,1.077628491
