Run,Cost
1,1.5334179627346616
2,1.648756744247351
3,1.4726963068968082
4,1.528986451550199
5,1.5886533674919139
6,1.5874949528749331
7,1.5358228309958573
8,1.530408806747509
9,1.5885002301024027
10,1.5271877058690688
