Run,Duration,Accuracy,Cost
1,1539.009739,0.905499995,1.533417963
2,1654.769116,0.899100006,1.648756744
3,1478.066655,0.91049999,1.472696307
4,1534.562068,0.906000018,1.528986452
5,1594.446566,0.921700001,1.588653367
6,1593.283927,0.918600023,1.587494953
7,1541.423377,0.913200021,1.535822831
8,1535.98961,0.920700014,1.530408807
9,1594.29287,0.894800007,1.58850023
10,1532.756763,0.913900018,1.527187706
